# 850-FDR — Multilin 850 feeder protection
# generated 2026-09-04 13:26 from 850.html
# configuration: kv=13.8; freq=60; rot=ABC; gnd=solid; load=320; lpf=0.92; len=8; unit=mi; z1m=0.65; z1a=68; z0m=2.1; z0a=72; ctp=600; cts=5; ctc=wye; ctgp=600; ctgs=5; ctsg=50; vtp=13800; vts=120; vtc=wye; vtw=line; zsrc=I; zhold=5; k0m=0; cmc=3x; imax=32; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,Expected,ExpectedDetail,Measured,PassFail
FLOC,Fault locator,Advanced Distance,shots,3,Fault at 50% of line,4.00 mi out · line impedance to the fault 2.713 Ω sec,,,,23.639@0.0,69.282@-120.0,69.282@120.0,,5.0000@-70.5,0.0000@0.0,0.0000@0.0,,,,60.000,4.00 mi,Accept 3.60 to 4.40 mi (±5.0% of line),,
FLOC,Fault locator,Advanced Distance,shots,4,Fault at 75% of line,6.00 mi out · line impedance to the fault 4.070 Ω sec,,,,35.458@0.0,69.282@-120.0,69.282@120.0,,5.0000@-70.5,0.0000@0.0,0.0000@0.0,,,,60.000,6.00 mi,Accept 5.60 to 6.40 mi (±5.0% of line),,
FLOC,Fault locator,Advanced Distance,shots,5,Fault at 90% of line,7.20 mi out · line impedance to the fault 4.883 Ω sec,,,,42.549@0.0,69.282@-120.0,69.282@120.0,,5.0000@-70.5,0.0000@0.0,0.0000@0.0,,,,60.000,7.20 mi,Accept 6.80 to 7.60 mi (±5.0% of line),,
21,Distance zones,Advanced Distance,shots,1,Zone 1 reach — inside,Fault at 72.0% of line · 5.76 mi out,,,,69.282@90.0,19.534@0.0,19.534@180.0,,0.0000@0.0,5.0000@-68.0,5.0000@112.0,,,,60.000,ZONE 1,Operate after 0.00 s,,
21,Distance zones,Advanced Distance,shots,2,Zone 1 reach — outside,Fault at 88.0% of line · 7.04 mi out,,,,69.282@90.0,23.875@0.0,23.875@180.0,,0.0000@0.0,5.0000@-68.0,5.0000@112.0,,,,60.000,NOT ZONE 1,Picked up by zone 2 instead,,
21,Distance zones,Advanced Distance,shots,3,Zone 2 reach — inside,Fault at 108.0% of line · 8.64 mi out,,,,69.282@90.0,29.301@0.0,29.301@180.0,,0.0000@0.0,5.0000@-68.0,5.0000@112.0,,,,60.000,ZONE 2,Operate after 0.30 s,,
21,Distance zones,Advanced Distance,shots,4,Zone 2 reach — outside,Fault at 132.0% of line · 10.56 mi out,,,,69.282@90.0,35.812@0.0,35.812@180.0,,0.0000@0.0,5.0000@-68.0,5.0000@112.0,,,,60.000,NOT ZONE 2,Picked up by zone 3 instead,,
21,Distance zones,Advanced Distance,shots,5,Zone 3 reach — inside,Fault at 180.0% of line · 14.40 mi out,,,,69.282@90.0,48.835@0.0,48.835@180.0,,0.0000@0.0,5.0000@-68.0,5.0000@112.0,,,,60.000,ZONE 3,Operate after 0.80 s,,
21,Distance zones,Advanced Distance,shots,6,Zone 3 reach — outside,Fault at 220.0% of line · 17.60 mi out,,,,69.282@90.0,59.687@0.0,59.687@180.0,,0.0000@0.0,5.0000@-68.0,5.0000@112.0,,,,60.000,NOT ZONE 3,Picked up by no zone instead,,
68,Power swing blocking,State Sequencer,sequence (assemble from these steps),1,Outside the outer characteristic,"Impedance at 288% of line — load territory, nothing picked up",,,,78.000@0.0,78.000@-120.0,78.000@120.0,,5.0000@-68.0,5.0000@172.0,5.0000@52.0,,,,60.000,NO PICKUP,Neither characteristic sees it,,
68,Power swing blocking,State Sequencer,sequence (assemble from these steps),2,Between the characteristics,"Impedance at 200% — inside outer, outside inner",,,,54.261@0.0,54.261@-120.0,54.261@120.0,,5.0000@-68.0,5.0000@172.0,5.0000@52.0,,,,60.000,OUTER ONLY,The transit timer starts here,,
68,Power swing blocking,State Sequencer,sequence (assemble from these steps),3,Inside the inner characteristic,Impedance at 128% — both characteristics picked up,,,,34.591@0.0,34.591@-120.0,34.591@120.0,,5.0000@-68.0,5.0000@172.0,5.0000@52.0,,,,60.000,BOTH,Block asserts if the transit took longer than 30 ms,,
68,Power swing blocking,State Sequencer,sequence (assemble from these steps),4,Deep inside — fault territory,"Impedance well inside both, reached instantly rather than by a swing",,,,16.278@0.0,16.278@-120.0,16.278@120.0,,5.0000@-68.0,5.0000@172.0,5.0000@52.0,,,,60.000,NO BLOCK,A step straight to here must not block — this is a fault,,
50BF,Breaker failure,State Sequencer,sequence (assemble from these steps),1,Detector — above threshold,"105% of the detector setting, no initiate",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.0500@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,DETECTOR PICKED UP,"Flag only, no trip without initiate",,
50BF,Breaker failure,State Sequencer,sequence (assemble from these steps),2,Detector — below threshold,95% of the detector setting,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.9500@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,NO PICKUP,Detector must drop out,,
50BF,Breaker failure,State Sequencer,sequence (assemble from these steps),3,Retrip timing,Initiate asserted with current held and never removed,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.100 s,Timer 1 — retrip to the same breaker,,
50BF,Breaker failure,State Sequencer,sequence (assemble from these steps),4,Bus trip timing,"Same state, second stage",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.200 s,Timer 2 — trips the bus,,
50BF,Breaker failure,State Sequencer,sequence (assemble from these steps),5,Reset check,"Initiate asserted, then current removed inside timer 1",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,NO TRIP,Proves the detector reset stops the scheme,,
50P,Phase instantaneous OC,Overcurrent,pickup+time,1,Pickup — above threshold,105% of setting · operating quantity 42.000 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,42.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,OPERATE,Operate within 0.02 s,,
50P,Phase instantaneous OC,Overcurrent,pickup+time,2,Pickup — below threshold,95% of setting · operating quantity 38.000 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,38.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,RESTRAIN,No operation,,
50P,Phase instantaneous OC,Overcurrent,pickup+time,3,Timing at 2.0× pickup,Step from prefault load straight to the test value,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,80.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.020 s,Measured from application of current to trip,,
51P,Phase time OC,Overcurrent,characteristic,1,Pickup — above threshold,105% of setting · operating quantity 6.300 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,6.3000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,OPERATE,Long operate time — let the curve run out,,
51P,Phase time OC,Overcurrent,characteristic,2,Pickup — below threshold,95% of setting · operating quantity 5.700 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,5.7000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,RESTRAIN,No operation,,
51P,Phase time OC,Overcurrent,characteristic,3,Timing at 2.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,1.406 s,Predicted from the curve equation,,
51P,Phase time OC,Overcurrent,characteristic,4,Timing at 3.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,18.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.588 s,Predicted from the curve equation,,
51P,Phase time OC,Overcurrent,characteristic,5,Timing at 5.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,30.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.262 s,Predicted from the curve equation,,
51P,Phase time OC,Overcurrent,characteristic,6,Timing at 10.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,60.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.138 s,Predicted from the curve equation,,
50G,Ground instantaneous OC,Overcurrent,pickup+time,1,Pickup — above threshold,105% of setting · operating quantity 10.500 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,10.5000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,OPERATE,Operate within 0.02 s,,
50G,Ground instantaneous OC,Overcurrent,pickup+time,2,Pickup — below threshold,95% of setting · operating quantity 9.500 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,9.5000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,RESTRAIN,No operation,,
50G,Ground instantaneous OC,Overcurrent,pickup+time,3,Timing at 2.0× pickup,Step from prefault load straight to the test value,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,20.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.020 s,Measured from application of current to trip,,
51G,Ground time OC,Overcurrent,characteristic,1,Pickup — above threshold,105% of setting · operating quantity 1.575 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.5750@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,OPERATE,Long operate time — let the curve run out,,
51G,Ground time OC,Overcurrent,characteristic,2,Pickup — below threshold,95% of setting · operating quantity 1.425 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.4250@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,RESTRAIN,No operation,,
51G,Ground time OC,Overcurrent,characteristic,3,Timing at 2.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,1.406 s,Predicted from the curve equation,,
51G,Ground time OC,Overcurrent,characteristic,4,Timing at 3.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,4.5000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.588 s,Predicted from the curve equation,,
51G,Ground time OC,Overcurrent,characteristic,5,Timing at 5.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,7.5000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.262 s,Predicted from the curve equation,,
51G,Ground time OC,Overcurrent,characteristic,6,Timing at 10.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,15.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.138 s,Predicted from the curve equation,,
50N,Neutral instantaneous OC,Overcurrent,pickup+time,1,Pickup — above threshold,105% of setting · operating quantity 10.500 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,10.5000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,OPERATE,Operate within 0.02 s,,
50N,Neutral instantaneous OC,Overcurrent,pickup+time,2,Pickup — below threshold,95% of setting · operating quantity 9.500 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,9.5000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,RESTRAIN,No operation,,
50N,Neutral instantaneous OC,Overcurrent,pickup+time,3,Timing at 2.0× pickup,Step from prefault load straight to the test value,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,20.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.020 s,Measured from application of current to trip,,
51N,Neutral time OC,Overcurrent,characteristic,1,Pickup — above threshold,105% of setting · operating quantity 1.575 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.5750@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,OPERATE,Long operate time — let the curve run out,,
51N,Neutral time OC,Overcurrent,characteristic,2,Pickup — below threshold,95% of setting · operating quantity 1.425 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.4250@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,RESTRAIN,No operation,,
51N,Neutral time OC,Overcurrent,characteristic,3,Timing at 2.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,1.406 s,Predicted from the curve equation,,
51N,Neutral time OC,Overcurrent,characteristic,4,Timing at 3.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,4.5000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.588 s,Predicted from the curve equation,,
51N,Neutral time OC,Overcurrent,characteristic,5,Timing at 5.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,7.5000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.262 s,Predicted from the curve equation,,
51N,Neutral time OC,Overcurrent,characteristic,6,Timing at 10.0× pickup,IEEE Very Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,15.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.138 s,Predicted from the curve equation,,
50SG,Sensitive ground IOC,Overcurrent,pickup+time,1,Pickup — above threshold,105% of setting · operating quantity 0.263 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.2625@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,OPERATE,Operate within 0.02 s,,
50SG,Sensitive ground IOC,Overcurrent,pickup+time,2,Pickup — below threshold,95% of setting · operating quantity 0.237 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.2375@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,RESTRAIN,No operation,,
50SG,Sensitive ground IOC,Overcurrent,pickup+time,3,Timing at 2.0× pickup,Step from prefault load straight to the test value,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.5000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.020 s,Measured from application of current to trip,,
51SG,Sensitive ground TOC,Overcurrent,characteristic,1,Pickup — above threshold,105% of setting · operating quantity 0.105 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.1050@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,OPERATE,Long operate time — let the curve run out,,
51SG,Sensitive ground TOC,Overcurrent,characteristic,2,Pickup — below threshold,95% of setting · operating quantity 0.095 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.0950@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,RESTRAIN,No operation,,
51SG,Sensitive ground TOC,Overcurrent,characteristic,3,Timing at 2.0× pickup,IEC Curve A (SI) · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.2000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,2.006 s,Predicted from the curve equation,,
51SG,Sensitive ground TOC,Overcurrent,characteristic,4,Timing at 3.0× pickup,IEC Curve A (SI) · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.3000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,1.260 s,Predicted from the curve equation,,
51SG,Sensitive ground TOC,Overcurrent,characteristic,5,Timing at 5.0× pickup,IEC Curve A (SI) · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.5000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.856 s,Predicted from the curve equation,,
51SG,Sensitive ground TOC,Overcurrent,characteristic,6,Timing at 10.0× pickup,IEC Curve A (SI) · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.594 s,Predicted from the curve equation,,
50_2,Negative-sequence IOC,Overcurrent,pickup+time,1,Pickup — above threshold,105% of setting · operating quantity 2.625 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,7.8750@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,OPERATE,Operate within 0.02 s,,
50_2,Negative-sequence IOC,Overcurrent,pickup+time,2,Pickup — below threshold,95% of setting · operating quantity 2.375 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,7.1250@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,RESTRAIN,No operation,,
50_2,Negative-sequence IOC,Overcurrent,pickup+time,3,Timing at 2.0× pickup,Step from prefault load straight to the test value,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,15.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.020 s,Measured from application of current to trip,,
46,Negative-sequence TOC,Overcurrent,characteristic,1,Pickup — above threshold,105% of setting · operating quantity 1.050 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.1500@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,OPERATE,Long operate time — let the curve run out,,
46,Negative-sequence TOC,Overcurrent,characteristic,2,Pickup — below threshold,95% of setting · operating quantity 0.950 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.8500@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,RESTRAIN,No operation,,
46,Negative-sequence TOC,Overcurrent,characteristic,3,Timing at 2.0× pickup,IEEE Mod Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,6.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.761 s,Predicted from the curve equation,,
46,Negative-sequence TOC,Overcurrent,characteristic,4,Timing at 3.0× pickup,IEEE Mod Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,9.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.486 s,Predicted from the curve equation,,
46,Negative-sequence TOC,Overcurrent,characteristic,5,Timing at 5.0× pickup,IEEE Mod Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,15.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.338 s,Predicted from the curve equation,,
46,Negative-sequence TOC,Overcurrent,characteristic,6,Timing at 10.0× pickup,IEEE Mod Inv · TDM 0.20,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,30.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,60.000,0.241 s,Predicted from the curve equation,,
46BC,Broken conductor,Quick CMC,points,1,Ratio — above threshold,I2/I1 = 22.0% · L3 reduced to 45.9% of the healthy phases,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,5.0000@-23.1,5.0000@-143.1,2.2951@96.9,,,,60.000,OPERATE,Operate after 5.0 s,,
46BC,Broken conductor,Quick CMC,points,2,Ratio — below threshold,I2/I1 = 18.0% · L3 reduced to 54.2% of the healthy phases,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,5.0000@-23.1,5.0000@-143.1,2.7119@96.9,,,,60.000,RESTRAIN,No operation,,
46BC,Broken conductor,Quick CMC,points,3,Fully open conductor,"L3 taken to zero — the limiting case for this method, I2/I1 = 50%",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,5.0000@-23.1,5.0000@-143.1,0.0000@96.9,,,,60.000,OPERATE,The deepest condition the element will ever see from a single open phase,,
46BC,Broken conductor,Quick CMC,points,4,Below minimum load,"Same ratio, but total current dropped under the 0.10 ×CT supervision",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.4000@-23.1,0.4000@-143.1,0.1836@96.9,,,,60.000,BLOCKED,Element inhibited — the ratio is meaningless at no load,,
37,Undercurrent / loss of load,Overcurrent,pickup+time,1,Pickup — below threshold,95% of setting,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.4250@-23.0,1.4250@-143.0,1.4250@97.0,,,,60.000,OPERATE,Operate after 2.0 s,,
37,Undercurrent / loss of load,Overcurrent,pickup+time,2,Pickup — above threshold,105% of setting,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.5750@-23.0,1.5750@-143.0,1.5750@97.0,,,,60.000,RESTRAIN,No operation,,
37,Undercurrent / loss of load,Overcurrent,pickup+time,3,Timing at half pickup,Step from normal load straight down,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.7500@-23.0,0.7500@-143.0,0.7500@97.0,,,,60.000,2.00 s,Definite time,,
37,Undercurrent / loss of load,Overcurrent,pickup+time,4,Dead circuit,Current under the 0.05 ×CT block level,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.1250@-23.0,0.1250@-143.0,0.1250@97.0,,,,60.000,BLOCKED,An open breaker must not look like loss of load,,
67,Directional supervision,Ramping,points,1,Forward maximum torque,Current at the characteristic angle — deepest into the operate zone.,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@-60.0,0.0000@0.0,0.0000@0.0,,,,60.000,FORWARD,Current held at 2.0× pickup,,
67,Directional supervision,Ramping,points,2,Reverse maximum torque,Rotated 180° from MTA.,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@120.0,0.0000@0.0,0.0000@0.0,,,,60.000,REVERSE,Current held at 2.0× pickup,,
67,Directional supervision,Ramping,points,3,"Boundary, leading side (inside)",5° inside the boundary.,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@25.0,0.0000@0.0,0.0000@0.0,,,,60.000,FORWARD,Current held at 2.0× pickup,,
