# 7SJ85-SIP — Siemens 7SJ85 SIPROTEC 5 overcurrent
# generated 2026-09-04 14:05 from 7SJ85.html
# configuration: kv=20; freq=50; rot=ABC; gnd=res; load=180; lpf=0.9; len=12; unit=km; z1m=0.12; z1a=72; z0m=0.38; z0a=68; ctp=400; cts=1; ctstar=line; ctgp=60; ctgs=1; i0src=cb; vtp=20000; vts=100; vtc=wye; v0src=bd; bdr=100; zsrc=I; zhold=1; cmc=3x; imax=32; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,Expected,ExpectedDetail,Measured,PassFail
21,Distance zones,Advanced Distance,shots,2,Z1 reach — outside,Fault at 93.5% of line · 11.22 km out,,,,57.735@90.0,2.693@0.0,2.693@180.0,,0.0000@0.0,1.0000@-72.0,1.0000@108.0,,,,50.000,NOT ZONE 1,Picked up by Z2 instead,,
21,Distance zones,Advanced Distance,shots,3,Z2 reach — inside,Fault at 108.0% of line · 12.96 km out,,,,57.735@90.0,3.110@0.0,3.110@180.0,,0.0000@0.0,1.0000@-72.0,1.0000@108.0,,,,50.000,ZONE 2,Operate after 0.300 s,,
21,Distance zones,Advanced Distance,shots,4,Z2 reach — outside,Fault at 132.0% of line · 15.84 km out,,,,57.735@90.0,3.802@0.0,3.802@180.0,,0.0000@0.0,1.0000@-72.0,1.0000@108.0,,,,50.000,NOT ZONE 2,Picked up by Z3 instead,,
21,Distance zones,Advanced Distance,shots,5,Z3 reach — inside,Fault at 180.0% of line · 21.60 km out,,,,57.735@90.0,5.184@0.0,5.184@180.0,,0.0000@0.0,1.0000@-72.0,1.0000@108.0,,,,50.000,ZONE 3,Operate after 0.900 s,,
21,Distance zones,Advanced Distance,shots,6,Z3 reach — outside,Fault at 220.0% of line · 26.40 km out,,,,57.735@90.0,6.336@0.0,6.336@180.0,,0.0000@0.0,1.0000@-72.0,1.0000@108.0,,,,50.000,NOT ZONE 3,No zone sees it,,
FLOC,Fault locator,Advanced Distance,shots,1,Fault at 10% of line,1.20 km out · line impedance to the fault 0.288 Ω sec,,,,0.496@0.0,57.735@-120.0,57.735@120.0,,1.0000@-69.5,0.0000@0.0,0.0000@0.0,,,,50.000,1.20 km,Accept 0.60 to 1.80 km,,
FLOC,Fault locator,Advanced Distance,shots,2,Fault at 25% of line,3.00 km out · line impedance to the fault 0.720 Ω sec,,,,1.239@0.0,57.735@-120.0,57.735@120.0,,1.0000@-69.5,0.0000@0.0,0.0000@0.0,,,,50.000,3.00 km,Accept 2.40 to 3.60 km,,
FLOC,Fault locator,Advanced Distance,shots,3,Fault at 50% of line,6.00 km out · line impedance to the fault 1.440 Ω sec,,,,2.479@0.0,57.735@-120.0,57.735@120.0,,1.0000@-69.5,0.0000@0.0,0.0000@0.0,,,,50.000,6.00 km,Accept 5.40 to 6.60 km,,
FLOC,Fault locator,Advanced Distance,shots,4,Fault at 75% of line,9.00 km out · line impedance to the fault 2.160 Ω sec,,,,3.718@0.0,57.735@-120.0,57.735@120.0,,1.0000@-69.5,0.0000@0.0,0.0000@0.0,,,,50.000,9.00 km,Accept 8.40 to 9.60 km,,
FLOC,Fault locator,Advanced Distance,shots,5,Fault at 90% of line,10.80 km out · line impedance to the fault 2.592 Ω sec,,,,4.461@0.0,57.735@-120.0,57.735@120.0,,1.0000@-69.5,0.0000@0.0,0.0000@0.0,,,,50.000,10.80 km,Accept 10.20 to 11.40 km,,
67,Directional overcurrent,Ramping,points,1,Forward — maximum torque,"Current on the characteristic axis, deepest into the forward sector.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.4000@-45.0,0.0000@0.0,0.0000@0.0,,,,50.000,FORWARD,Current held at 2.0× threshold,,
67,Directional overcurrent,Ramping,points,2,Reverse — maximum torque,Rotated 180° from the axis.,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.4000@135.0,0.0000@0.0,0.0000@0.0,,,,50.000,REVERSE,Current held at 2.0× threshold,,
67,Directional overcurrent,Ramping,points,3,"Boundary, leading (inside)",5° inside the sector edge.,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.4000@40.0,0.0000@0.0,0.0000@0.0,,,,50.000,FORWARD,Current held at 2.0× threshold,,
67,Directional overcurrent,Ramping,points,4,"Boundary, leading (outside)",5° past the edge.,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.4000@50.0,0.0000@0.0,0.0000@0.0,,,,50.000,REVERSE,Current held at 2.0× threshold,,
67,Directional overcurrent,Ramping,points,5,"Boundary, lagging (inside)",5° inside the sector edge.,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.4000@-130.0,0.0000@0.0,0.0000@0.0,,,,50.000,FORWARD,Current held at 2.0× threshold,,
67,Directional overcurrent,Ramping,points,6,"Boundary, lagging (outside)",5° past the edge.,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.4000@-140.0,0.0000@0.0,0.0000@0.0,,,,50.000,REVERSE,Current held at 2.0× threshold,,
49,Thermal overload,Overcurrent,characteristic,1,Operate at 1.50× k·In,Applied 1.6500 A · preload 0.90× k·In,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.6500@-26.0,0.0000@0.0,0.0000@0.0,,,,50.000,2.83 min,Alarm at 2.55 min,,
49,Thermal overload,Overcurrent,characteristic,2,Operate at 2.00× k·In,Applied 2.2000 A · preload 0.90× k·In,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.2000@-26.0,0.0000@0.0,0.0000@0.0,,,,50.000,73.69 s,Alarm at 66.32 s,,
49,Thermal overload,Overcurrent,characteristic,3,Operate at 3.00× k·In,Applied 3.3000 A · preload 0.90× k·In,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,3.3000@-26.0,0.0000@0.0,0.0000@0.0,,,,50.000,28.17 s,Alarm at 25.35 s,,
49,Thermal overload,Overcurrent,characteristic,4,Operate at 5.00× k·In,Applied 5.5000 A · preload 0.90× k·In,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,5.5000@-26.0,0.0000@0.0,0.0000@0.0,,,,50.000,9.463 s,Alarm at 8.516 s,,
37,Undercurrent,Overcurrent,pickup+time,1,Threshold — below,95% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.1900@-26.0,0.1900@-146.0,0.1900@94.0,,,,50.000,OPERATE,Operate after 3.000 s,,
37,Undercurrent,Overcurrent,pickup+time,2,Threshold — above,105% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.2100@-26.0,0.2100@-146.0,0.2100@94.0,,,,50.000,RESTRAIN,No operation,,
37,Undercurrent,Overcurrent,pickup+time,3,Timing at half threshold,Step from full load straight down,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.1000@-26.0,0.1000@-146.0,0.1000@94.0,,,,50.000,3.000 s,Definite time,,
37,Undercurrent,Overcurrent,pickup+time,4,Open circuit,Under the 0.03 × In block level,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0150@-26.0,0.0150@-146.0,0.0150@94.0,,,,50.000,BLOCKED,An open breaker must not read as lost load,,
51V,Voltage-dependent overcurrent,Quick CMC,points,1,V = 1.00 ×Vn — above threshold,Effective threshold 1.5000 A at 57.74 V,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.5750@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Characteristic runs from here,,
51V,Voltage-dependent overcurrent,Quick CMC,points,2,V = 1.00 ×Vn — below threshold,Effective threshold 1.5000 A at 57.74 V,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.4250@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
51V,Voltage-dependent overcurrent,Quick CMC,points,3,V = 0.75 ×Vn — above threshold,Effective threshold 1.1250 A at 43.30 V,,,,43.301@0.0,43.301@-120.0,43.301@120.0,,1.1813@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Characteristic runs from here,,
51V,Voltage-dependent overcurrent,Quick CMC,points,4,V = 0.75 ×Vn — below threshold,Effective threshold 1.1250 A at 43.30 V,,,,43.301@0.0,43.301@-120.0,43.301@120.0,,1.0687@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
51V,Voltage-dependent overcurrent,Quick CMC,points,5,V = 0.50 ×Vn — above threshold,Effective threshold 750.0 mA at 28.87 V,,,,28.868@0.0,28.868@-120.0,28.868@120.0,,0.7875@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Characteristic runs from here,,
51V,Voltage-dependent overcurrent,Quick CMC,points,6,V = 0.50 ×Vn — below threshold,Effective threshold 750.0 mA at 28.87 V,,,,28.868@0.0,28.868@-120.0,28.868@120.0,,0.7125@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
51V,Voltage-dependent overcurrent,Quick CMC,points,7,V = 0.25 ×Vn — above threshold,Effective threshold 375.0 mA at 14.43 V,,,,14.434@0.0,14.434@-120.0,14.434@120.0,,0.3938@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Characteristic runs from here,,
51V,Voltage-dependent overcurrent,Quick CMC,points,8,V = 0.25 ×Vn — below threshold,Effective threshold 375.0 mA at 14.43 V,,,,14.434@0.0,14.434@-120.0,14.434@120.0,,0.3562@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
79,Auto-reclose,State Sequencer,sequence,1,Permanent — prefault load,Healthy circuit held long enough for the scheme to be ready,1,1/5,2.000,57.735@0.0,57.735@-120.0,57.735@120.0,,0.4500@-25.8,0.4500@-145.8,0.4500@94.2,,,,50.000,READY,Cycle counter at zero,,
79,Auto-reclose,State Sequencer,sequence,2,Permanent — fault 1 of 2,"Fault still present on every reclose, 6.0 × In applied",1,2/5,0.060,57.735@0.0,57.735@-120.0,57.735@120.0,,6.0000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,"TRIP, RECLOSE STARTED",Trip in 0.060 s,,
79,Auto-reclose,State Sequencer,sequence,3,Permanent — dead time 1,"Breaker open, line dead. Dead time 1 is 0.400 s.",1,3/5,0.400,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RECLOSE AT 0.400 s,"Close command at the end of this state, not before",,
79,Auto-reclose,State Sequencer,sequence,4,Permanent — fault 2 of 2,"Fault still present on every reclose, 6.0 × In applied",1,4/5,0.060,57.735@0.0,57.735@-120.0,57.735@120.0,,6.0000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,"TRIP, CYCLE 2",Trip in 0.060 s,,
79,Auto-reclose,State Sequencer,sequence,5,Permanent — final trip,"No cycles left after 2. Breaker open, no further close.",1,5/5,3.000,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,FINAL TRIP,The scheme must stay blocked until reset,,
79,Auto-reclose,State Sequencer,sequence,6,Transient — prefault load,"Healthy circuit, scheme ready",2,1/5,2.000,57.735@0.0,57.735@-120.0,57.735@120.0,,0.4500@-25.8,0.4500@-145.8,0.4500@94.2,,,,50.000,READY,Counter at zero,,
79,Auto-reclose,State Sequencer,sequence,7,Transient — fault,"One fault, cleared by the trip and gone before the reclose",2,2/5,0.060,57.735@0.0,57.735@-120.0,57.735@120.0,,6.0000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,"TRIP, RECLOSE STARTED",Trip in 0.060 s,,
79,Auto-reclose,State Sequencer,sequence,8,Transient — dead time 1,Breaker open. The fault is removed during this state.,2,3/5,0.400,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RECLOSE AT 0.400 s,Close at the end of the dead time,,
79,Auto-reclose,State Sequencer,sequence,9,Transient — reclaim,Load restored and held for the full 15.00 s reclaim time,2,4/5,15.000,57.735@0.0,57.735@-120.0,57.735@120.0,,0.4500@-25.8,0.4500@-145.8,0.4500@94.2,,,,50.000,NO TRIP,A second fault inside this window goes to the next cycle,,
79,Auto-reclose,State Sequencer,sequence,10,Transient — reset confirmed,"Reclaim expired, counter back to zero",2,5/5,3.000,57.735@0.0,57.735@-120.0,57.735@120.0,,0.4500@-25.8,0.4500@-145.8,0.4500@94.2,,,,50.000,RESET,A fault now counts as cycle 1 again,,
50BF,Circuit-breaker failure,State Sequencer,sequence (assemble from these steps),1,Detector — above,"105% of the detector setting, no initiate",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.1050@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,DETECTOR PICKED UP,"Flag only, no trip without initiate",,
50BF,Circuit-breaker failure,State Sequencer,sequence (assemble from these steps),2,Detector — below,95% of the detector setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0950@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,NO PICKUP,Detector must drop out,,
50BF,Circuit-breaker failure,State Sequencer,sequence (assemble from these steps),3,Retrip timing,Initiate asserted with current held and never removed,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.3000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.150 s,Stage 1,,
