# 7SD82-DIF-loopback — Siemens 7SD82 SIPROTEC 5 line differential
# generated 2026-09-05 12:28 from 7SD82.html
# configuration: kv=110; freq=50; len=15; type=cable; iref=600; ich=25; ctAp=600; ctAs=1; ctAstar=line; ctBp=600; ctBs=1; ctBstar=line; stage=loop; vtp=110000; vts=100; vtc=wye; comm=fibre; tprop=0.5; tasym=0.2; sync=pp; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
# Staging is loop. Steps marked "both ends" in CurrentNeededAt need current at the remote end;
# at local-end staging they cannot be run and must be recorded as untested, not as passed.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,CurrentNeededAt,Reachable,Expected,ExpectedDetail,Measured,PassFail
87N,Ground differential,Quick CMC,points,1,Threshold — above,"Single-phase into end A at 0.115 pu, giving 3I0 equal to it. End B quiescent.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.1150@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,50.000,,yes,OPERATE,Operate within 50.0 ms,,
87N,Ground differential,Quick CMC,points,2,Threshold — below,"Single-phase into end A at 0.085 pu, giving 3I0 equal to it. End B quiescent.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0850@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,50.000,,yes,RESTRAIN,No operation,,
87N,Ground differential,Quick CMC,points,3,Through-current stability,Both ends matched and opposed at 4.0 pu residual,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,4.0000@0.0,0.0000@0.0,0.0000@0.0,4.0000@180.0,0.0000@0.0,0.0000@0.0,50.000,both ends,yes,RESTRAIN,Zero residual differential,,
Ich,Charging current compensation,Quick CMC,points,1,Standing differential at nominal voltage,"Both ends carrying rated load opposed, but end B short by the charging current — which is what a healthy energised line actually looks like.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.0000@0.0,1.0000@-120.0,1.0000@120.0,0.9583@180.0,0.9583@60.0,0.9583@-60.0,50.000,both ends,yes,NO ALARM,Compensation should reduce it to under 0.0083 pu,,
Ich,Charging current compensation,Quick CMC,points,2,Over-compensation check,Charging current doubled — the value entered in the device is now half what the line is really drawing.,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.0000@0.0,1.0000@-120.0,1.0000@120.0,0.9167@180.0,0.9167@60.0,0.9167@-60.0,50.000,both ends,yes,STANDING DIFFERENTIAL,"Residue 0.0417 pu even with compensation on, which is how a wrong entered value shows itself",,
Ich,Charging current compensation,Quick CMC,points,3,True through current,"Both ends exactly matched — no charging current at all, which is what a de-energised line under injection looks like.",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.0000@0.0,1.0000@-120.0,1.0000@120.0,1.0000@180.0,1.0000@60.0,1.0000@-60.0,50.000,both ends,yes,NO DIFFERENTIAL,This is the reference the other two points are measured against,,
PI,Protection interface and synchronisation,—,link / no injection,1,Measured delay,Read the delay the device reports and compare with 0.50 ms,,,,,,,,,,,,,,,,yes,WITHIN TOLERANCE,A reading far from the expected value means the route is not the one on the drawing,,
PI,Protection interface and synchronisation,—,link / no injection,2,Asymmetry,Read the reported send/receive difference,,,,,,,,,,,,,,,,yes,UNDER 0.20 ms,Ping-pong synchronisation assumes a symmetric path — asymmetry appears directly as a phase error between the ends,,
PI,Protection interface and synchronisation,—,link / no injection,3,Link interrupted,Disconnect the fibre or disable the channel and hold for longer than 0.100 s,,,,,,,,,,,,,,,,yes,"87L BLOCKS, BACKUP ARMS","Confirm the backup functions actually take over, not just that the differential drops out",,
PI,Protection interface and synchronisation,—,link / no injection,4,Link restored,Reconnect and wait for the interface to resynchronise,,,,,,,,,,,,,,,,yes,87L RETURNS,Note the resynchronisation time — it is dead time on the protection,,
PI,Protection interface and synchronisation,—,link / no injection,5,Injection during outage,"With the link down, apply an internal-fault current at end A",,,,,,,,,,,,,,,,yes,BACKUP CLEARS IT,This is the point that proves the fallback is real rather than nominal,,
85,Intertrip over the interface,State Sequencer,sequence (assemble from these steps),1,"A to B, each signal",Assert each configured bit at end A in turn and confirm the matching output at end B,,,,,,,,,,,,,,,,yes,RECEIVED,One at a time — a swapped pair passes a both-at-once test,,
85,Intertrip over the interface,State Sequencer,sequence (assemble from these steps),2,"B to A, each signal",The same in the other direction,,,,,,,,,,,,,,,,yes,RECEIVED,Both directions are separately configurable and separately wrong,,
85,Intertrip over the interface,State Sequencer,sequence (assemble from these steps),3,Transfer time,Time from assertion at one end to output at the other,,,,,,,,,,,,,,,,yes,ABOUT 15 ms,Against a link delay of 0.50 ms one way — the difference is device processing,,
85,Intertrip over the interface,State Sequencer,sequence (assemble from these steps),4,Link down,Assert a signal with the interface disconnected,,,,,,,,,,,,,,,,yes,"NOT RECEIVED, ALARM",The receiving end must not hold the last state as though it were live,,
85,Intertrip over the interface,State Sequencer,sequence (assemble from these steps),5,Direct transfer trip,Assert the DTT bit and confirm it trips the remote breaker,,,,,,,,,,,,,,,,yes,REMOTE TRIP,"The one signal that operates plant directly — worth proving on its own, not as part of a batch",,
50-1,Backup overcurrent stage 1,Overcurrent,pickup+time,1,Threshold — above,105% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.1000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,OPERATE,Operate within 0.300 s,,
50-1,Backup overcurrent stage 1,Overcurrent,pickup+time,2,Threshold — below,95% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.9000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,RESTRAIN,No operation,,
50-1,Backup overcurrent stage 1,Overcurrent,pickup+time,3,Timing at 2.0× threshold,Step from prefault load straight to the test value,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,4.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,0.300 s,Measured from the current step to the trip,,
51,Backup overcurrent inverse,Overcurrent,characteristic,1,Threshold — above,105% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.2600@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,OPERATE,Long operate time — let the characteristic run out,,
51,Backup overcurrent inverse,Overcurrent,characteristic,2,Threshold — below,95% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.1400@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,RESTRAIN,No operation,,
51,Backup overcurrent inverse,Overcurrent,characteristic,3,Timing at 2.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.4000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,2.006 s,From the characteristic equation,,
51,Backup overcurrent inverse,Overcurrent,characteristic,4,Timing at 3.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,3.6000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,1.260 s,From the characteristic equation,,
51,Backup overcurrent inverse,Overcurrent,characteristic,5,Timing at 5.0× threshold,IEC Normal Inverse · T = 0.20,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,6.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,0.856 s,From the characteristic equation,,
50N-1,Backup ground overcurrent,Overcurrent,pickup+time,1,Threshold — above,105% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.4200@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,OPERATE,Operate within 0.300 s,,
50N-1,Backup ground overcurrent,Overcurrent,pickup+time,2,Threshold — below,95% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.3800@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,RESTRAIN,No operation,,
50N-1,Backup ground overcurrent,Overcurrent,pickup+time,3,Timing at 2.0× threshold,Step from prefault load straight to the test value,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.8000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,0.300 s,Measured from the current step to the trip,,
Stub,Stub bus protection,Overcurrent,pickup+time,1,Isolator closed — stub inactive,"Line isolator auxiliary contact indicating closed, current well above the stub threshold",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,NO STUB TRIP,87L is in service and owns this current instead,,
Stub,Stub bus protection,Overcurrent,pickup+time,2,Isolator open — above threshold,"Isolator auxiliary indicating open, so the stub function is armed",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,1.0500@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,TRIP,Operate within 50.0 ms,,
Stub,Stub bus protection,Overcurrent,pickup+time,3,Isolator open — below threshold,95% of the stub threshold,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.9500@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,NO TRIP,No operation,,
Stub,Stub bus protection,Overcurrent,pickup+time,4,Isolator open — 87L must be out,Current at end A only with the isolator open — the differential would see this as an internal fault if it were still in service,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,2.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,"STUB TRIPS, NOT 87L","Watch which function reports it, not just that something operated",,
79,Auto-reclose,State Sequencer,sequence,1,Prefault load,"Healthy line, scheme ready",1,1/3,2.000,57.735@0.0,57.735@-120.0,57.735@120.0,,1.0000@-75.0,1.0000@165.0,1.0000@45.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,50.000,,yes,READY,Cycle counter at zero,,
79,Auto-reclose,State Sequencer,sequence,2,Fault 1 of 1,"Internal fault at end A, 4.0 × In",1,2/3,0.030,17.321@0.0,17.321@-120.0,17.321@120.0,,4.0000@-75.0,4.0000@165.0,4.0000@45.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,50.000,,yes,"TRIP, RECLOSE STARTED",87L trips in 30.0 ms and sends intertrip to the far end,,
79,Auto-reclose,State Sequencer,sequence,3,Final trip,No cycles left,1,3/3,3.000,0.000@0.0,0.000@-120.0,0.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,50.000,,yes,FINAL TRIP,Scheme blocked until reset,,
50BF,Circuit-breaker failure,State Sequencer,sequence (assemble from these steps),1,Detector — above,"105% of the detector, no initiate",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.1050@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,DETECTOR PICKED UP,Flag only,,
50BF,Circuit-breaker failure,State Sequencer,sequence (assemble from these steps),2,Detector — below,95% of the detector,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0950@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,NO PICKUP,Must drop out,,
50BF,Circuit-breaker failure,State Sequencer,sequence (assemble from these steps),3,Retrip timing,"Initiate asserted, current held",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.3000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,0.150 s,Stage 1,,
50BF,Circuit-breaker failure,State Sequencer,sequence (assemble from these steps),4,Busbar trip timing,"Same state, second stage",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.3000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,0.250 s,Stage 2,,
50BF,Circuit-breaker failure,State Sequencer,sequence (assemble from these steps),5,Reset check,"Initiate asserted, then current removed inside stage 1",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@-75.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,NO TRIP,Detector reset stops the scheme,,
74TC,Trip circuit supervision,—,binary / DC,1,Healthy circuit,"Trip circuit intact, breaker closed",,,,,,,,,,,,,,,,yes,NO ALARM,Both inputs energised,,
74TC,Trip circuit supervision,—,binary / DC,2,Trip coil open,Open the coil circuit at the terminal block,,,,,,,,,,,,,,,,yes,ALARM,After 2.000 s,,
74TC,Trip circuit supervision,—,binary / DC,3,Trip supply lost,Remove the DC supply,,,,,,,,,,,,,,,,yes,ALARM,After 2.000 s,,
74TC,Trip circuit supervision,—,binary / DC,4,Breaker open,Breaker open with the circuit intact,,,,,,,,,,,,,,,,yes,NO ALARM,The point that catches a one-input arrangement wired as if it were two,,
25,Synchrocheck,Synchronizer,points,1,In synchronism,All differences well inside their limits,,,,57.735@0.0,57.735@-120.0,57.735@120.0,57.735@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,CLOSE RELEASED,"Δθ 0°, ΔV 0 V, Δf 0 Hz",,
25,Synchrocheck,Synchronizer,points,2,Angle inside limit,Angle at 80% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,57.735@9.6,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,CLOSE RELEASED,Δθ 9.6°,,
25,Synchrocheck,Synchronizer,points,3,Angle outside limit,Angle at 120% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,57.735@14.4,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,BLOCKED,Δθ 14.4°,,
25,Synchrocheck,Synchronizer,points,4,Voltage difference outside,"Angle matched, magnitude offset past ΔV",,,,57.735@0.0,57.735@-120.0,57.735@120.0,50.535@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,BLOCKED,ΔV 7.20 V,,
25,Synchrocheck,Synchronizer,points,5,Slip outside limit,Line output off frequency so the angle rotates,,,,57.735@0.0,57.735@-120.0,57.735@120.0,57.735@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,BLOCKED,Δf 0.060 Hz,,
25,Synchrocheck,Synchronizer,points,6,"Dead line, live bus",Line collapsed below the dead threshold,,,,57.735@0.0,57.735@-120.0,57.735@120.0,10.000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,CLOSE RELEASED,From the dead-line logic,,
27,Undervoltage,Voltage,pickup+time,1,Threshold — below,95% of setting,,,,43.879@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,OPERATE,Operate after 2.000 s,,
27,Undervoltage,Voltage,pickup+time,2,Threshold — above,105% of setting,,,,48.497@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,RESTRAIN,No operation,,
27,Undervoltage,Voltage,pickup+time,3,Timing at 0.50× threshold,Step from nominal,,,,23.094@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,2.000 s,Definite time,,
59,Overvoltage,Voltage,pickup+time,1,Threshold — above,105% of setting,,,,69.715@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,OPERATE,Operate after 2.000 s,,
59,Overvoltage,Voltage,pickup+time,2,Threshold — below,95% of setting,,,,63.076@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,RESTRAIN,No operation,,
59,Overvoltage,Voltage,pickup+time,3,Timing at 1.30× threshold,Step from nominal,,,,86.314@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,,yes,2.000 s,Definite time,,
81,Under / over frequency,Quick CMC,points,1,Threshold — past,0.050 Hz beyond the setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,48.950,,yes,OPERATE,Operate after 0.500 s,,
81,Under / over frequency,Quick CMC,points,2,Threshold — short of,0.050 Hz on the healthy side,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,49.050,,yes,RESTRAIN,No operation,,
81,Under / over frequency,Quick CMC,points,3,Timing,Step from 50.0 Hz,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,48.950,,yes,0.500 s,Definite time,,
81,Under / over frequency,Quick CMC,points,4,Below minimum voltage,Voltage under the 30 V level,,,,24.000@0.0,24.000@-120.0,24.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,48.950,,yes,BLOCKED,Function inhibited,,
