# 845-VEC — Multilin 845 transformer protection
# generated 2026-09-07 01:42 from 845.html
# configuration: mva=20; kv1=115; kv2=13.8; vg=Dyn1; freq=60; rot=ABC; ct1p=150; ct1s=5; ct1c=wye; ct2p=1200; ct2s=5; ct2c=wye; ctgp=200; ctgs=5; refw=2; vtp=13800; vts=120; vtc=wye; vtw=2; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,CurrentNeededAt,Reachable,Expected,ExpectedDetail,Measured,PassFail
51P,Phase time OC,Overcurrent,characteristic,1,Pickup — above threshold,105% of setting · operating quantity 6.300 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,6.3000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,Long operate time — allow the curve to run out,,
51P,Phase time OC,Overcurrent,characteristic,2,Pickup — below threshold,95% of setting · operating quantity 5.700 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,5.7000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,No operation,,
51P,Phase time OC,Overcurrent,characteristic,3,Timing at 2.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,1.428 s,Predicted from the curve equation,,
51P,Phase time OC,Overcurrent,characteristic,4,Timing at 3.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,18.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.547 s,Predicted from the curve equation,,
51P,Phase time OC,Overcurrent,characteristic,5,Timing at 5.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,30.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.195 s,Predicted from the curve equation,,
50G,Ground instantaneous OC,Overcurrent,pickup+time,1,Pickup — above threshold,105% of setting · operating quantity 2.625 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.6250@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,Operate within 0.05 s,,
50G,Ground instantaneous OC,Overcurrent,pickup+time,2,Pickup — below threshold,95% of setting · operating quantity 2.375 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.3750@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,No operation,,
50G,Ground instantaneous OC,Overcurrent,pickup+time,3,Timing at 2.0× pickup,Step from prefault zero straight to the test value,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,5.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.050 s,Measured from application of current to trip contact,,
51G,Ground time OC,Overcurrent,characteristic,1,Pickup — above threshold,105% of setting · operating quantity 1.050 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.0500@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,Long operate time — allow the curve to run out,,
51G,Ground time OC,Overcurrent,characteristic,2,Pickup — below threshold,95% of setting · operating quantity 0.950 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.9500@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,No operation,,
51G,Ground time OC,Overcurrent,characteristic,3,Timing at 2.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,1.428 s,Predicted from the curve equation,,
51G,Ground time OC,Overcurrent,characteristic,4,Timing at 3.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.547 s,Predicted from the curve equation,,
51G,Ground time OC,Overcurrent,characteristic,5,Timing at 5.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,5.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.195 s,Predicted from the curve equation,,
50N,Neutral instantaneous OC,Overcurrent,pickup+time,1,Pickup — above threshold,105% of setting · operating quantity 3.150 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.1500@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,Operate within 0.05 s,,
50N,Neutral instantaneous OC,Overcurrent,pickup+time,2,Pickup — below threshold,95% of setting · operating quantity 2.850 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.8500@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,No operation,,
50N,Neutral instantaneous OC,Overcurrent,pickup+time,3,Timing at 2.0× pickup,Step from prefault zero straight to the test value,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,6.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.050 s,Measured from application of current to trip contact,,
51N,Neutral time OC,Overcurrent,characteristic,1,Pickup — above threshold,105% of setting · operating quantity 1.313 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.3125@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,Long operate time — allow the curve to run out,,
51N,Neutral time OC,Overcurrent,characteristic,2,Pickup — below threshold,95% of setting · operating quantity 1.188 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.1875@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,No operation,,
51N,Neutral time OC,Overcurrent,characteristic,3,Timing at 2.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.5000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,1.428 s,Predicted from the curve equation,,
51N,Neutral time OC,Overcurrent,characteristic,4,Timing at 3.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.7500@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.547 s,Predicted from the curve equation,,
51N,Neutral time OC,Overcurrent,characteristic,5,Timing at 5.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,6.2500@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.195 s,Predicted from the curve equation,,
50_2,Negative-sequence IOC,Overcurrent,pickup+time,1,Pickup — above threshold,105% of setting · operating quantity 2.625 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,7.8750@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,Operate within 0.05 s,,
50_2,Negative-sequence IOC,Overcurrent,pickup+time,2,Pickup — below threshold,95% of setting · operating quantity 2.375 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,7.1250@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,No operation,,
50_2,Negative-sequence IOC,Overcurrent,pickup+time,3,Timing at 2.0× pickup,Step from prefault zero straight to the test value,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,15.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.050 s,Measured from application of current to trip contact,,
46,Negative-sequence TOC,Overcurrent,characteristic,1,Pickup — above threshold,105% of setting · operating quantity 1.050 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,3.1500@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,Long operate time — allow the curve to run out,,
46,Negative-sequence TOC,Overcurrent,characteristic,2,Pickup — below threshold,95% of setting · operating quantity 0.950 A sec,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.8500@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,No operation,,
46,Negative-sequence TOC,Overcurrent,characteristic,3,Timing at 2.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,6.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,1.428 s,Predicted from the curve equation,,
46,Negative-sequence TOC,Overcurrent,characteristic,4,Timing at 3.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,9.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.547 s,Predicted from the curve equation,,
46,Negative-sequence TOC,Overcurrent,characteristic,5,Timing at 5.0× pickup,IEEE Ext Inv · TDM 0.15,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,15.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.195 s,Predicted from the curve equation,,
67,Directional supervision,Ramping,points,1,Forward maximum torque,Current at the characteristic angle — deepest into the operate zone.,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@-45.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,FORWARD,Current held at 2.0× pickup throughout,,
67,Directional supervision,Ramping,points,2,Reverse maximum torque,Rotated 180° from MTA — deepest into the restrain zone.,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@135.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,REVERSE,Current held at 2.0× pickup throughout,,
67,Directional supervision,Ramping,points,3,"Boundary, leading side (inside)",5° inside the 90° boundary.,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@40.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,FORWARD,Current held at 2.0× pickup throughout,,
67,Directional supervision,Ramping,points,4,"Boundary, leading side (outside)",5° outside the boundary.,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@50.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,REVERSE,Current held at 2.0× pickup throughout,,
67,Directional supervision,Ramping,points,5,"Boundary, lagging side (inside)",5° inside the 90° boundary.,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@-130.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,FORWARD,Current held at 2.0× pickup throughout,,
67,Directional supervision,Ramping,points,6,"Boundary, lagging side (outside)",5° outside the boundary.,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,12.0000@-140.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,REVERSE,Current held at 2.0× pickup throughout,,
27,Undervoltage,Voltage,pickup+time,1,Pickup — below threshold,95% of setting,,,,52.654@0.0,69.282@-120.0,69.282@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,Operate after 2.00 s,,
27,Undervoltage,Voltage,pickup+time,2,Pickup — above threshold,105% of setting,,,,58.197@0.0,69.282@-120.0,69.282@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,No operation,,
27,Undervoltage,Voltage,pickup+time,3,Timing at 0.50× pickup,Step from nominal to the test level,,,,27.713@0.0,69.282@-120.0,69.282@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,2.00 s,Definite time,,
27,Undervoltage,Voltage,pickup+time,4,Below minimum operating voltage,Proves the element blocks rather than operating on a dead bus,,,,4.000@0.0,69.282@-120.0,69.282@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,BLOCKED,Element inhibited,,
59,Overvoltage,Voltage,pickup+time,1,Pickup — above threshold,105% of setting,,,,80.021@0.0,69.282@-120.0,69.282@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,Operate after 1.00 s,,
59,Overvoltage,Voltage,pickup+time,2,Pickup — below threshold,95% of setting,,,,72.400@0.0,69.282@-120.0,69.282@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,No operation,,
59,Overvoltage,Voltage,pickup+time,3,Timing at 1.30× pickup,Step from nominal to the test level,,,,99.073@0.0,69.282@-120.0,69.282@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,1.00 s,Definite time,,
59N,Neutral overvoltage,Quick CMC,points,1,Pickup — above threshold,3V0 = 10.50 V secondary,,,,69.282@0.0,69.282@-120.0,69.282@120.0,10.500@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,OPERATE,Operate after 1.00 s,,
59N,Neutral overvoltage,Quick CMC,points,2,Pickup — below threshold,3V0 = 9.50 V secondary,,,,69.282@0.0,69.282@-120.0,69.282@120.0,9.500@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,RESTRAIN,No operation,,
24,Volts per hertz,Quick CMC,points,1,60.0 Hz — above threshold,1.155 pu V/Hz requires 80.02 V secondary at 60.0 Hz,,,,80.021@0.0,80.021@-120.0,80.021@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,OPERATE,Operate after 5.0 s,,
24,Volts per hertz,Quick CMC,points,2,60.0 Hz — below threshold,1.045 pu V/Hz requires 72.40 V secondary at 60.0 Hz,,,,72.400@0.0,72.400@-120.0,72.400@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,RESTRAIN,No operation,,
24,Volts per hertz,Quick CMC,points,3,57.0 Hz — above threshold,1.155 pu V/Hz requires 76.02 V secondary at 57.0 Hz,,,,76.020@0.0,76.020@-120.0,76.020@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,57.000,,yes,OPERATE,Operate after 5.0 s,,
24,Volts per hertz,Quick CMC,points,4,57.0 Hz — below threshold,1.045 pu V/Hz requires 68.78 V secondary at 57.0 Hz,,,,68.780@0.0,68.780@-120.0,68.780@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,57.000,,yes,RESTRAIN,No operation,,
24,Volts per hertz,Quick CMC,points,5,54.0 Hz — above threshold,1.155 pu V/Hz requires 72.02 V secondary at 54.0 Hz,,,,72.019@0.0,72.019@-120.0,72.019@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,54.000,,yes,OPERATE,Operate after 5.0 s,,
24,Volts per hertz,Quick CMC,points,6,54.0 Hz — below threshold,1.045 pu V/Hz requires 65.16 V secondary at 54.0 Hz,,,,65.160@0.0,65.160@-120.0,65.160@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,54.000,,yes,RESTRAIN,No operation,,
81,Under / over frequency,Quick CMC,points,1,Pickup — past threshold,0.100 Hz beyond the setting,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,59.200,,yes,OPERATE,Operate after 0.30 s,,
81,Under / over frequency,Quick CMC,points,2,Pickup — short of threshold,0.100 Hz on the healthy side,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,59.400,,yes,RESTRAIN,No operation,,
81,Under / over frequency,Quick CMC,points,3,Timing,Step from 60.0 Hz straight to 59.200 Hz,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,59.200,,yes,0.300 s,Definite time,,
81,Under / over frequency,Quick CMC,points,4,Below minimum voltage,Frequency past the setting but voltage held under the 30 V supervision level,,,,24.000@0.0,24.000@-120.0,24.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,59.200,,yes,BLOCKED,Element inhibited,,
32,Directional power,Quick CMC,points,1,Pickup — above threshold,"110% of setting — 191.3 W secondary, 0.660 MW primary",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.9204@0.0,0.9204@-120.0,0.9204@120.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,OPERATE,"Balanced 3-phase, current at +0.0°",,
32,Directional power,Quick CMC,points,2,Pickup — below threshold,"90% of setting — 156.5 W secondary, 0.540 MW primary",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.7531@0.0,0.7531@-120.0,0.7531@120.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,RESTRAIN,"Balanced 3-phase, current at +0.0°",,
32,Directional power,Quick CMC,points,3,Timing at 2× pickup,"200% of setting — 347.8 W secondary, 1.200 MW primary",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.6735@0.0,1.6735@-120.0,1.6735@120.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,1.00 s,"Balanced 3-phase, current at +0.0°",,
49,Thermal overload,Overcurrent,characteristic,1,Operate at 1.50× thermal setting,Applied 7.875 A sec · prior load 0.00× Ib,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,7.8750@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,176.3 s,2.94 minutes,,
49,Thermal overload,Overcurrent,characteristic,2,Operate at 2.00× thermal setting,Applied 10.500 A sec · prior load 0.00× Ib,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,10.5000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,86.3 s,1.44 minutes,,
49,Thermal overload,Overcurrent,characteristic,3,Operate at 3.00× thermal setting,Applied 15.750 A sec · prior load 0.00× Ib,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,15.7500@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,35.3 s,0.59 minutes,,
49,Thermal overload,Overcurrent,characteristic,4,Operate at 5.00× thermal setting,Applied 26.250 A sec · prior load 0.00× Ib,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,26.2500@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,12.2 s,0.20 minutes,,
50BF,Breaker failure,State Sequencer,sequence (assemble from these steps),1,Current detector — above threshold,"105% of detector setting, no initiate",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,1.0500@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,DETECTOR PICKED UP,Flag only — no trip without initiate,,
50BF,Breaker failure,State Sequencer,sequence (assemble from these steps),2,Current detector — below threshold,95% of detector setting,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.9500@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,NO PICKUP,Detector must drop out,,
